Type,Address
INT,DB 1401.DBW 124
INT,DB 1401.DBW 168
INT,DB 1401.DBW 104
INT,DB 1401.DBW 148
INT,DB 1401.DBW 128
INT,DB 1401.DBW 172
INT,DB 1401.DBW 108
INT,DB 1401.DBW 152
REAL,DB 1409.DBD 60
REAL,DB 1410.DBD 60
REAL,DB 1416.DBD 4
REAL,DB 1417.DBD 4
INT,DB 1421.DBW 124
INT,DB 1421.DBW 168
INT,DB 1421.DBW 104
INT,DB 1421.DBW 148
INT,DB 1421.DBW 128
INT,DB 1421.DBW 172
INT,DB 1421.DBW 108
INT,DB 1421.DBW 152
REAL,DB 1429.DBD 60
REAL,DB 1430.DBD 60
REAL,DB 1436.DBD 4
REAL,DB 1437.DBD 4
INT,DB 1441.DBW 124
INT,DB 1441.DBW 168
INT,DB 1441.DBW 104
INT,DB 1441.DBW 148
INT,DB 1441.DBW 128
INT,DB 1441.DBW 172
INT,DB 1441.DBW 108
INT,DB 1441.DBW 152
REAL,DB 1449.DBD 60
REAL,DB 1450.DBD 60
REAL,DB 1456.DBD 4
REAL,DB 1457.DBD 4
INT,DB 1461.DBW 124
INT,DB 1461.DBW 168
INT,DB 1461.DBW 104
INT,DB 1461.DBW 148
INT,DB 1461.DBW 128
INT,DB 1461.DBW 172
INT,DB 1461.DBW 108
INT,DB 1461.DBW 152
REAL,DB 1469.DBD 60
REAL,DB 1470.DBD 60
REAL,DB 1476.DBD 4
REAL,DB 1477.DBD 4
REAL,DB 1201.DBD 676
REAL,DB 1221.DBD 676
REAL,DB 1241.DBD 676
REAL,DB 1261.DBD 676
BOOL,DB 1401.DBX 611.7
BOOL,DB 1421.DBX 611.7
BOOL,DB 1441.DBX 611.7
BOOL,DB 1461.DBX 611.7
BOOL,DB 1401.DBX 803.3
BOOL,DB 1421.DBX 803.3
BOOL,DB 1441.DBX 803.3
BOOL,DB 1461.DBX 803.3
BOOL,I 87.7
BOOL,I 88.0
REAL,DB 1204.DBD 76
REAL,DB 1201.DBD 632
REAL,DB 1201.DBD 612
INT,DB 1201.DBW 868
INT,DB 1201.DBW 870
INT,DB 1201.DBW 872
INT,DB 1201.DBW 874
REAL,DB 1224.DBD 76
REAL,DB 1221.DBD 632
REAL,DB 1221.DBD 612
INT,DB 1221.DBW 868
INT,DB 1221.DBW 870
REAL,DB 1221.DBD 652
REAL,DB 1221.DBD 656
REAL,DB 1244.DBD 76
REAL,DB 1241.DBD 632
REAL,DB 1241.DBD 612
INT,DB 1241.DBW 868
INT,DB 1241.DBW 870
REAL,DB 1241.DBD 652
REAL,DB 1241.DBD 656
REAL,DB 1264.DBD 76
REAL,DB 1261.DBD 632
REAL,DB 1261.DBD 612
INT,DB 1261.DBW 868
INT,DB 1261.DBW 870
REAL,DB 1261.DBD 652
REAL,DB 1261.DBD 656
REAL,MD 700
REAL,MD 704
REAL,MD 708
REAL,MD 712
BOOL,DB 1201.DBX 762.0
BOOL,DB 1201.DBX 762.3
BOOL,DB 1201.DBX 570.1
BOOL,DB 1201.DBX 570.2
BOOL,DB 1201.DBX 570.3
BOOL,DB 1201.DBX 570.4
BOOL,DB 1201.DBX 570.5
BOOL,DB 1241.DBX 762.0
BOOL,DB 1241.DBX 762.3
BOOL,DB 1241.DBX 570.1
